Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),Environment:Site Outdoor Air Relative Humidity [%](TimeStep),Environment:Site Diffuse Solar Radiation Rate per Area [W/m2](TimeStep),Environment:Site Direct Solar Radiation Rate per Area [W/m2](TimeStep),LIVING_UNIT1:Zone Air Temperature [C](TimeStep),LIVING_UNIT1:Zone Air Relative Humidity [%](TimeStep),LIVING_UNIT1:Zone Thermostat Heating Setpoint Temperature [C](TimeStep),LIVING_UNIT1:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),ATTIC_UNIT1:Zone Air Relative Humidity [%](TimeStep),CRAWLSPACE_UNIT1:Zone Air Relative Humidity [%](TimeStep),Whole Building:Facility Total Purchased Electricity Energy [J](TimeStep),Whole Building:Facility Total Surplus Electricity Energy [J](TimeStep),Whole Building:Facility Net Purchased Electricity Energy [J](TimeStep),DAYSOFWEEK:Schedule Value [](TimeStep),Electricity:Facility [J](TimeStep),Cooling:Electricity [J](TimeStep),Heating:Electricity [J](TimeStep),Photovoltaic:ElectricityProduced [J](TimeStep),Cogeneration:ElectricityPurchased [J](TimeStep),Cogeneration:ElectricitySurplusSold [J](TimeStep),dishwasher:InteriorEquipment:Electricity [J](TimeStep) 
 08/01  03:15:00,18.775,64,0,0,24.0212935543509,48.9562421459223,15,25.5435009002686,72.9808516371779,63.6417161912416,21789.301747949,0,21789.301747949,1,21789.301747949,0,0,0,21789.301747949,0,0
 08/01  03:20:00,18.7,64.3333333333333,0,0,23.9806207003361,49.1100448619789,15,25.5202503204346,73.2100857156346,63.7106932857953,21789.301747949,0,21789.301747949,1,21789.301747949,0,0,0,21789.301747949,0,0
 08/01  03:25:00,18.625,64.6666666666667,0,0,23.9397785268576,49.2641364570697,15,25.4969997406006,73.4196482499485,63.7879034205497,21789.301747949,0,21789.301747949,1,21789.301747949,0,0,0,21789.301747949,0,0
 08/01  03:30:00,18.55,65,0,0,23.8986257967131,49.4188477056274,15,25.4737491607666,73.6099033599238,63.8711380046687,21789.301747949,0,21789.301747949,1,21789.301747949,0,0,0,21789.301747949,0,0
 08/01  03:35:00,18.475,65.3333333333333,0,0,23.8570356137537,49.5744392257789,15,25.4505004882812,73.7820734694358,63.9588487198582,21789.301747949,0,21789.301747949,1,21789.301747949,0,0,0,21789.301747949,0,0
 08/01  03:40:00,18.4,65.6666666666667,0,0,23.8149441631886,49.7310368199593,15,25.4272499084473,73.9380621324888,64.0505093554203,21789.301747949,0,21789.301747949,1,21789.301747949,0,0,0,21789.301747949,0,0
 08/01  03:45:00,18.325,66,0,0,23.7723342188089,49.8886705476954,15,25.4039993286133,74.0796980933585,64.1460200586308,21789.301747949,0,21789.301747949,1,21789.301747949,0,0,0,21789.301747949,0,0
 08/01  03:50:00,18.25,66.3333333333333,0,0,23.7292196274904,50.0472980635946,15,25.3807506561279,74.2082711561339,64.245138738267,21789.301747949,0,21789.301747949,1,21789.301747949,0,0,0,21789.301747949,0,0
 08/01  03:55:00,18.175,66.6666666666667,0,0,23.6856266589665,50.2068367017199,15,25.3575000762939,74.3247477673751,64.3475621096348,21789.301747949,0,21789.301747949,1,21789.301747949,0,0,0,21789.301747949,0,0
 08/01  04:00:00,18.1,67,0,0,23.6415836723065,50.3671939242267,15,25.33424949646,74.4299922800999,64.4531402430834,21789.301747949,0,21789.301747949,1,21789.301747949,0,0,0,21789.301747949,0,0
